filename,class,total_points,ground_points,area_m2,area_km2,density_total_per_m2,density_ground_per_m2,ground_fraction,classification_histogram,returns_histogram,number_of_returns_histogram,n_withheld,n_synthetic,z_quantiles,intensity_quantiles,scan_angle_stats,mean_scan_angle,max_scan_angle
JAM_A02_2013_laz_5.laz,JAM_A02,20757973,265423,710732.8926001495,0.7107328926001495,29.206433550667548,0.3734497203710031,0.012786556760623978,"{2: 265423, 3: 451294, 4: 731068, 5: 19310188}","{1: 10393721, 2: 10364252}","{1: 3864496, 2: 13056851, 3: 3836626}",0,0,[ 82.    86.5   91.69 110.63 126.36 133.31 156.75],[  1.  13.  27.  50. 162.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_4.laz,JAM_A02,8678870,115476,289237.10760005534,0.28923710760005533,30.00607381263392,0.399243378410751,0.013305418792999549,"{2: 115476, 3: 199761, 4: 345113, 5: 8018520}","{1: 4492447, 2: 4186423}","{1: 1751203, 2: 5461993, 3: 1465674}",0,0,[ 85.47  88.47  91.91 110.97 126.58 132.79 154.65],[  1.  13.  25.  46. 149.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_6.laz,JAM_A02,21787944,283214,710732.8926001495,0.7107328926001495,30.655601037811625,0.3984816278361456,0.012998656504716554,"{2: 283214, 3: 526859, 4: 856471, 5: 20121400}","{1: 11069395, 2: 10718549}","{1: 4204227, 2: 13742394, 3: 3841323}",0,0,[ 91.95  97.27 103.61 123.61 143.86 152.46 174.24],[  1.  14.  28.  53. 190.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_7.laz,JAM_A02,7810069,114184,289237.10760005534,0.28923710760005533,27.00230639423842,0.3947764550248813,0.01462010130768371,"{2: 114184, 3: 186103, 4: 308524, 5: 7201258}","{1: 3915597, 2: 3894472}","{1: 1481776, 2: 4857069, 3: 1471224}",0,0,[ 83.64  87.45  91.18 108.89 122.43 127.41 141.35],[  2.  14.  28.  54. 171.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_3.laz,JAM_A02,8359842,113031,289237.10760005534,0.28923710760005533,28.903075643944106,0.39079010621380716,0.013520710080405826,"{2: 113031, 3: 211766, 4: 359804, 5: 7675241}","{1: 4225114, 2: 4134728}","{1: 1595448, 2: 5240307, 3: 1524087}",0,0,[ 84.32  89.18  91.99 111.91 128.89 134.2  142.82],[  1.  13.  26.  48. 150.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_2.laz,JAM_A02,21388872,291680,710732.8926001495,0.7107328926001495,30.094107396311465,0.41039327578173024,0.013636997780902145,"{2: 291680, 3: 563356, 4: 756205, 5: 19777631}","{1: 10531292, 2: 10857580}","{1: 3775860, 2: 13512025, 3: 4100987}",0,0,[ 88.72  91.46  92.53 112.71 129.01 134.62 150.62],[  1.  13.  25.  47. 156.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_0.laz,JAM_A02,8976696,128917,289237.10760005534,0.28923710760005533,31.03576880049772,0.4457139025821711,0.014361297296911915,"{2: 128917, 3: 236465, 4: 342861, 5: 8268453}","{1: 4406159, 2: 4570537}","{1: 1584521, 2: 5625778, 3: 1766397}",0,0,[ 87.94  90.5   91.85 111.08 126.57 131.65 148.45],[  1.  14.  28.  55. 169.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_1.laz,JAM_A02,24348564,305407,710732.8926001495,0.7107328926001495,34.25838912692371,0.42970714199352333,0.012543121639534882,"{2: 305407, 3: 623972, 4: 1010781, 5: 22408404}","{1: 12094324, 2: 12254240}","{1: 4379574, 2: 15440655, 3: 4528335}",0,0,[ 90.58  93.75  97.47 117.83 137.96 145.25 172.23],[  1.  13.  26.  50. 177.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_10.laz,JAM_A02,420167,5390,16003.649200021035,0.016003649200021036,26.254449516392032,0.33679818475356954,0.012828232583710762,"{2: 5390, 3: 9504, 4: 12935, 5: 392338}","{1: 212695, 2: 207472}","{1: 78488, 2: 266899, 3: 74780}",0,0,[ 86.93  90.47  92.57 113.13 127.72 131.33 138.09],[  2.  13.  25.  46. 115.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
JAM_A02_2013_laz_11.laz,JAM_A02,1073744,14832,39325.24420005244,0.03932524420005244,27.30419154011428,0.37716231142895795,0.013813348433146076,"{2: 14832, 3: 28400, 4: 45932, 5: 984580}","{1: 531911, 2: 541833}","{1: 192044, 2: 679790, 3: 201910}",0,0,[ 91.45  94.69  99.58 119.1  136.2  141.87 149.27],[  2.  13.  26.  50. 167.],"{'mean': np.float64(0.0), 'max': np.int8(0), 'min': np.int8(0), 'p95': np.float64(0.0)}",0.0,0
