class12,DTPM_mean,DTPM_std,DTPM_min,DTPM_max,DTPM_count,DGPM_mean,DGPM_std,DGPM_min,DGPM_max,DGPM_count,GF_mean,GF_std,GF_min,GF_max,GF_count,AKM2_mean,AKM2_std,AKM2_min,AKM2_max,AKM2_count,MSAN_mean,MSAN_std,MSAN_min,MSAN_max,MSAN_count,MXSAN_mean,MXSAN_std,MXSAN_min,MXSAN_max,MXSAN_count
BA3_A02_2014,28.492482149123365,5.5849091992502755,22.433367987089284,46.35366402154702,16,0.5739923824436511,0.28407014664753727,0.2835467138186334,1.201065853248009,16,0.020057655182520208,0.009081044320902457,0.010961295352398346,0.04125535937210212,16,0.20775137678734426,0.11086806274848249,0.012445921000012981,0.32340699299957815,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0,0,16
BAR_A01_2014,38.89294025183909,17.586149951662527,7.766224728187352,78.40172361989669,17,0.8274737168166336,0.6051945185840322,0.35765919048373623,2.408218723659332,17,0.044044016575455196,0.08244093013019672,0.009868375421817331,0.3100887249526468,17,0.45557388379985897,0.47297769808676215,0.011365532099897342,1.0026617624999161,17,0.0,0.0,0.0,0.0,17,0.0,0.0,0,0,17
BON_A01_2013,22.553976887611615,7.733132701415706,11.741999175619695,36.590359803529196,14,0.390762795563854,0.12556286929505764,0.21170308924015607,0.5918393036054087,14,0.018039698183255286,0.005645971356262438,0.014173743444453712,0.03589700593108653,14,0.5578719316928532,0.40597586314158063,0.0029550130000439096,0.9999800001002142,14,0.0,0.0,0.0,0.0,14,0.0,0.0,0,0,14
BON_A01_2018,17.771303220580965,6.281508472069207,10.46433831930826,28.16285725432277,13,0.17424833380758284,0.08271250202038934,0.0836019175354806,0.37709731739256036,13,0.011026329187282828,0.007547830285607562,0.005924683148282616,0.03002624016566117,13,0.6099968840001199,0.38540590832267557,0.037379525399925805,0.9999800001002142,13,10.712921839385821,0.723270330195043,9.146659037260195,11.508098415240319,13,20.846153846153847,0.37553380809940523,20,21,13
CAG_A01_2013,15.280396611051282,5.035641738870842,7.566443714472987,25.24631892384844,20,0.8984444920336502,0.28735389370777376,0.42138670247237775,1.3331496628596566,20,0.059868605064750426,0.01233701817802576,0.042693796838104044,0.09260898496401253,20,0.6307514381351352,0.3690322307534156,0.012362896000019719,0.9999800001002142,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0,0,20
CAN_A01_2014,36.671328930996715,10.440704733177277,24.464597504044647,65.79791285836953,12,2.6018892759973906,1.0813828723653194,1.5471677041270113,5.652798753040371,12,0.07247676217686293,0.023550277874629766,0.039780181751967424,0.11867213839136935,12,0.41651502890845854,0.3703806089561198,0.044741138600011686,0.9999800001002142,12,0.48725761469945034,1.6879098900685354,0.0,5.847091376393404,12,1.0,3.4641016151377544,0,12,12
CAN_A02_2014,36.285956119635905,9.381877747648081,18.6612894031815,51.52145692057534,12,2.2031657875145414,0.3545475594839254,1.5884388315331612,2.831410167669757,12,0.0670860714068559,0.03125861980781216,0.038713922340971235,0.15172639502536409,12,0.41652502835839694,0.4178268674792893,0.004912039999999804,0.9999800001002142,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0,0,12
CAN_A02_2017,38.81610781323797,4.378854096234253,31.030412650384704,48.10929084615534,12,1.0711950564959296,0.28985758241944504,0.6439485861833171,1.6482837704270272,12,0.028410168551052398,0.010264713953741471,0.016367391118405062,0.04831521206778333,12,0.41735069057525515,0.41770672402751,0.004788010500130927,0.9999800001002142,12,11.80647111138592,0.41809905951143395,11.27396825318076,12.557766826065887,12,22.0,0.0,22,22,12
CAU_A01_2012,28.958911750247488,5.306678178966771,23.66068904024492,47.48372206333108,20,0.38842617368195403,0.05705374704934917,0.29946658882550564,0.5140638631808314,20,0.013589353993041698,0.002030093940836511,0.010826107155104696,0.01790478708565247,20,0.6114210607200901,0.37031559161560546,0.04955913599999686,0.9999800001002142,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0,0,20
CAU_A01_2014,56.33760302230928,9.86757784269793,37.5523989060831,71.03539828981634,20,0.5368406966396353,0.08676573303259273,0.3492554911097071,0.7483175408220739,20,0.009620641901671612,0.0011379049648678472,0.007576978673734029,0.011561027832497527,20,0.612518067765035,0.37084042761501584,0.04974698979997997,1.0018707749991793,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0,0,20
