class,DTPM_mean,DTPM_std,DTPM_min,DTPM_max,DTPM_count,DGPM_mean,DGPM_std,DGPM_min,DGPM_max,DGPM_count,GF_mean,GF_std,GF_min,GF_max,GF_count,AKM2_mean,AKM2_std,AKM2_min,AKM2_max,AKM2_count,MSAN_mean,MSAN_std,MSAN_min,MSAN_max,MSAN_count,MXSAN_mean,MXSAN_std,MXSAN_min,MXSAN_max,MXSAN_count
FST_A04,34.38774726828134,13.585541613620665,19.194395079155168,52.903442626485656,12,0.7925767578123256,0.20870241654481836,0.5140660761509647,1.1708295046886332,12,0.024841584500248672,0.006247633969854143,0.016278359589717795,0.03427104273841659,12,0.2682306613083507,0.2731631696270319,0.003517057599943725,0.5903140968000807,12,8.514385015395947,1.6337301872191852,5.154212715389186,9.911900860868496,12,21.0,0.0,21,21,12
FST_A05,45.08917158429176,8.436007525687218,31.872765369395303,62.706866231662474,26,0.6896082228869453,0.25150675648581916,0.37028963273658705,1.3265210616209377,26,0.016248172338382626,0.007235824408019635,0.0068377342664465764,0.03036794445108458,26,0.2682910351616176,0.11033323845831158,0.061474282000055225,0.4390956090000748,26,8.771078010873657,0.6360453371149829,7.794973720542408,9.657774620808956,26,19.46153846153846,1.9845557534273357,17,21,26
FST_A06,42.08406266206868,5.004485630208584,34.51706821462385,50.973280431321605,22,0.5637523051884485,0.286525225855474,0.23830625991550097,0.9864184947186045,22,0.013796598323805148,0.007615277807671433,0.005602461208854995,0.027443086939654446,22,0.19761635441820677,0.12358429173543066,0.010344447499997245,0.3515264847001065,22,8.660518309847989,0.8275506769998924,7.631813741431326,9.701825600922076,22,19.318181818181817,1.9120261912024523,17,21,22
FST_A07,54.057955799670076,4.13636083782468,48.29891899209839,58.8176005103005,6,0.4925199377753667,0.10808464817551015,0.361684386466309,0.666926423606144,6,0.009249910060023929,0.0025386578642456466,0.006161003669349737,0.012797555605646998,6,0.1186163583334273,0.12858779162868525,0.010500868000155667,0.35684643150005646,6,7.51433444863675,1.077496380322605,6.1634855902591905,8.794136562111872,6,19.333333333333332,1.5055453054181618,17,21,6
FST_A08,48.61394586485906,7.165598288382533,37.95475409503549,56.3221169832957,6,0.46902125632783137,0.06587526527244641,0.3816087668843915,0.527417724814172,6,0.009868945222404656,0.0023014835848964845,0.006955915123883338,0.013797504880214537,6,0.1983833063334295,0.17012033256594541,0.038190946499966544,0.45030549690015653,6,7.090508379997061,1.2471211301561775,5.531663081673183,8.24844088256628,6,17.166666666666668,0.40824829046386263,17,18,6
GO1_A01,32.16040961166659,11.165440675847266,11.168935579346556,68.1423218589547,120,2.0773084359423257,1.1116865146965922,0.5335604568453628,4.5878653197682935,120,0.06595231272862957,0.03586689960168734,0.0179634390570104,0.28184000328655856,120,0.18543766585087523,0.06207840444182759,0.01659182280025666,0.22322103040007574,120,4.651350970789028,4.729542139839811,0.0,11.127531093850754,120,10.15,10.292079029831752,0,21,120
HUM_A01,39.88867194762663,17.363806348049266,20.957157769907756,73.71585918671367,24,0.4449812850887929,0.3190090222074796,0.15309465864110094,1.4076127217475292,24,0.010692779128340393,0.00571351598039632,0.005602292737269558,0.029710566240092412,24,0.4498234589252001,0.2541408586750719,0.05324963260002416,0.8879011209001407,24,5.522096163233176,5.64443583271952,0.0,11.49002856356253,24,10.458333333333334,10.685134601364428,0,21,24
JAC_A01,71.90329406920108,9.079409088761807,59.29752978023962,86.5887435359261,8,0.4304811969179247,0.07368004512061943,0.34112155603593647,0.5228957047644597,8,0.00605707749655143,0.001167170040654282,0.004016834407024891,0.00770217937343673,8,0.3776111976251327,0.1572760181572844,0.1853670390001731,0.6006739932001273,8,8.209083456496797,0.19152691709847885,7.95932675580048,8.516088964959215,8,23.25,1.4880476182856899,21,25,8
JAC_A02,67.04411462881164,3.7974440315784017,63.523101684399585,74.21658839149856,6,0.35733939400417647,0.038157042523179245,0.31471944152023723,0.4133063991092273,6,0.005344273190346354,0.000635967814485042,0.004401426915020852,0.006123666068218897,6,0.3928396430501417,0.17533847848458406,0.08922821540044536,0.49998500010010244,6,8.092408473174956,0.1181951127903523,7.9254205985723845,8.272088167847485,6,21.5,2.073644135332772,19,24,6
JAC_A03,56.79577613999993,5.117669773203627,48.83373303045859,62.177835428965885,6,0.3497364097541426,0.029454826575998187,0.307396115742261,0.38322790856031375,6,0.006238712380112879,0.0010877137077507752,0.004943821437680007,0.007763175127733644,6,0.3632160688666351,0.3700843270740656,0.03602632440000501,0.8992910070001894,6,8.05229738099508,0.3156132816836015,7.470649053737927,8.401871569908808,6,18.666666666666668,1.8618986725025257,17,21,6
JAC_A04,72.64352076405619,3.1821061432646287,68.81420439363855,76.49395429961426,7,0.46842580755541363,0.038475739043050294,0.41608677560304,0.5253323955781605,7,0.006463118318822027,0.0006577808602673635,0.00564608171219096,0.007394545873278933,7,0.2306441386714337,0.14022146730164928,0.11753319699992731,0.3815261847001132,7,7.861480406122334,0.18886746518116165,7.504704226483562,8.032039738957458,7,17.714285714285715,0.9511897312113418,17,19,7
JAC_A05,62.77223012203864,2.5493520821257265,59.031326927989475,65.60804986706631,8,0.39715044692573276,0.04772789037561707,0.35949078465156775,0.5076433636453553,8,0.006323239863619391,0.0006644253908608865,0.005713535567643451,0.007877418849398063,8,0.4374850001250151,0.11639886372740346,0.22663046729977226,0.49998500010010244,8,8.119067162671993,0.03463664460587205,8.049974898888074,8.162299784612694,8,17.875,0.35355339059327334,17,18,8
JAM_A01,25.68516436700099,0.8535879963733097,23.835788477850794,26.779689346534308,12,0.4701400706651468,0.08007543617591074,0.37723209834234556,0.6540512985607465,12,0.01831350324921584,0.003198723274279306,0.014573398128838715,0.026421852649002674,12,0.41660031189229846,0.2164161498747282,0.023614196800036034,0.6271537284001432,12,2.5115937508935073,0.05708688238775331,2.4586252792870504,2.628497520711079,12,8.833333333333334,0.7177405625652735,8,10,12
JAM_A02,38.45569535751336,13.83840374036603,23.52840814492321,60.70635067108691,40,0.4141127009778739,0.05765623653287425,0.33143406539554526,0.6301288169803583,40,0.01217702184806874,0.004508136998030349,0.006106293309071829,0.024457998399080035,40,0.4275171133451251,0.2557624954167889,0.016003649200021036,0.7131228687001641,40,3.2447128589634673,4.024658848222002,0.0,8.179317868555739,40,6.925,8.606460006655107,0,20,40
JAM_A02a,54.95654104265019,4.600044724658685,47.75116935170651,61.35950027477744,10,0.76894416867951,0.08708733680678389,0.6834549664636058,0.906654970025446,10,0.013984525259371092,0.000900865047374331,0.011990872061422136,0.015029572858223638,10,0.3299841001799387,0.2806270363338943,0.039149177399845005,0.7125028749001686,10,10.162935866085103,0.5058987084877065,9.598414266678578,10.809166427663856,10,21.0,0.0,21,21,10
JAM_A02b,53.0239248581078,3.8683146018638728,43.676218835408875,57.487238337498155,10,0.7551898439634405,0.06656306565133278,0.593267803630477,0.8398366550237505,10,0.014237915452813018,0.000657439750210367,0.013440398099977382,0.01530309666684348,10,0.3999820001801229,0.28185260376017335,0.0123670962002346,0.7132228677001408,10,10.157654390799427,0.39418850203710193,9.60796838332503,10.526809349899104,10,21.0,0.0,21,21,10
JAM_A03,40.598686309423435,13.543737413655633,24.144683626138765,64.81900655303987,34,0.5933930553099789,0.2475546275005443,0.30988003920082907,1.147897045567184,34,0.014456651925626786,0.0027182598517872126,0.010424499291495538,0.022309011291383764,34,0.4663141998411993,0.330047130814657,0.03292543520014672,0.9999800001002142,34,4.302118757385109,5.2225455371082665,0.0,11.148103686918809,34,8.647058823529411,10.490637537148487,0,21,34
JAM_A04,52.07928700895237,0.28876286128608225,51.73801475778219,52.485222546168586,8,0.7886049260384609,0.12206630981873584,0.6566476992995149,0.9929736506416292,8,0.01513703917190459,0.002300691243640618,0.012662476207284574,0.019047852255976022,8,0.4062356251250157,0.17716355917010004,0.05875382489988715,0.49998500010010244,8,9.610436689159812,0.029945732336982393,9.575896448116685,9.647193006423555,8,21.0,0.0,21,21,8
JAM_A05,46.632583665632374,8.00358880908466,36.74952587073755,55.71730583334801,16,0.7244676048053853,0.1044902699768955,0.5457967724756984,0.8591927384100464,16,0.01564586279476374,0.0013221752929099535,0.013596476418792934,0.01853651919963334,16,0.20935806269999876,0.11694360274572523,0.021456665999942004,0.34515654840005155,16,9.08391195807048,0.7552748771259833,7.95349448881324,9.860131296069543,16,21.0,0.0,21,21,16
JAM_A06,57.2002210905901,9.411633957930103,49.10826723818543,75.96533310060171,15,0.7212788131051244,0.2098139462454953,0.4513795412958705,1.0235947076363003,15,0.013329841833528415,0.005288812837067571,0.006114832248602668,0.020631301324585804,15,0.41665166680014126,0.16203494865020585,0.07582848340007309,0.49998500010010244,15,8.808035950520695,0.8809367103884557,7.687378723744612,9.533873110563034,15,19.733333333333334,1.624221425205085,17,21,15
